name,year,selling_price,km_driven,fuel,seller_type,transmission,mileage,engine,max_power,seats
Maruti Alto 800 LXI,2017,6050,28000,Petrol,Individual,Manual,4.05,796.0,47.3,5.0
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,6600,70000,Diesel,Individual,Manual,5.49,1248.0,73.8,7.0
Maruti Wagon R LXI Minor,2009,4840,120000,Petrol,Individual,Manual,5.29,1061.0,67.0,5.0
Maruti Omni E MPI STD BS IV,2018,5609,25000,Petrol,Individual,Manual,5.95,796.0,34.2,8.0
Maruti Vitara Brezza LDi Option,2017,14740,70000,Diesel,Individual,Manual,4.12,1248.0,88.5,5.0
Maruti Omni 8 Seater BSIV,2012,3300,35000,Petrol,Individual,Manual,7.14,796.0,35.0,5.0
Hyundai i20 1.2 Asta Dual Tone,2018,16059,2388,Petrol,Individual,Manual,5.38,1197.0,81.83,5.0
Maruti Vitara Brezza LDi,2017,14300,16200,Diesel,Individual,Manual,4.12,1248.0,88.5,5.0
Maruti Alto 800 CNG LXI Optional,2019,7260,10000,CNG,Individual,Manual,2.0,796.0,40.3,4.0
Maruti Alto K10 VXI Airbag,2019,8052,15000,Petrol,Individual,Manual,4.18,998.0,67.1,5.0
Hyundai Verna VTVT 1.6 SX Option,2019,25278,5000,Petrol,Individual,Manual,5.88,1591.0,121.3,5.0
Datsun GO D,2016,3300,42000,Petrol,Individual,Manual,4.85,1198.0,67.0,5.0
Tata Safari DICOR 2.2 LX 4x2,2011,9350,60000,Diesel,Individual,Manual,7.18,2179.0,138.03,7.0
Maruti 800 Std,2012,3300,76000,Petrol,Individual,Manual,6.21,796.0,37.0,4.0
Jeep Compass 1.4 Limited Plus BSIV,2019,46200,5000,Petrol,Individual,Automatic,6.25,1368.0,160.77,5.0
Honda City i VTEC VX,2018,20350,28900,Petrol,Dealer,Manual,5.62,1497.0,117.3,5.0
Honda City V MT,2013,9350,86300,Petrol,Dealer,Manual,5.95,1497.0,116.3,5.0
Maruti Swift Dzire VXi AT,2018,14850,23300,Petrol,Dealer,Automatic,5.41,1197.0,83.14,5.0
Maruti Vitara Brezza VDi,2018,18039,32600,Diesel,Dealer,Manual,4.12,1248.0,88.5,5.0
Maruti Alto K10 VXI,2018,8580,10300,Petrol,Dealer,Manual,4.18,998.0,67.05,5.0
Toyota Fortuner 4x4 MT,2014,33000,77000,Diesel,Dealer,Manual,7.97,2982.0,168.5,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,15400,99000,Diesel,Dealer,Manual,7.7,2494.0,100.0,7.0
Mercedes-Benz B Class B180,2014,31899,27800,Diesel,Dealer,Automatic,6.76,2143.0,120.7,5.0
Honda Amaze S Diesel,2015,9350,49800,Diesel,Dealer,Manual,4.05,1498.0,98.63,5.0
Mitsubishi Pajero Sport 4X4,2013,23980,151000,Diesel,Dealer,Manual,7.41,2477.0,175.56,7.0
Honda City i DTEC S,2015,13200,54700,Diesel,Dealer,Manual,3.85,1498.0,98.6,5.0
Maruti Ciaz Zeta,2018,18700,64000,Petrol,Dealer,Manual,4.84,1462.0,103.25,5.0
Honda Jazz VX Diesel,2015,11550,63000,Diesel,Dealer,Manual,3.66,1498.0,98.6,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,36300,127700,Diesel,Dealer,Automatic,8.8,2755.0,171.5,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,20900,99000,Diesel,Dealer,Manual,7.7,2494.0,100.6,7.0
Audi A6 2.0 TDI Technology,2013,38500,33900,Diesel,Dealer,Automatic,5.66,1968.0,174.33,5.0
Toyota Corolla Altis 1.8 VL CVT,2018,34980,25000,Petrol,Dealer,Automatic,7.0,1798.0,138.03,5.0
Audi A6 2.0 TDI  Design Edition,2013,37179,50000,Diesel,Dealer,Automatic,5.4,1968.0,187.74,5.0
Mercedes-Benz New C-Class 220 CDI AT,2013,31349,59000,Diesel,Dealer,Automatic,6.74,2143.0,170.0,5.0
Tata Manza ELAN Quadrajet BS IV,2011,5830,120000,Diesel,Individual,Manual,4.73,1248.0,88.8,5.0
Hyundai i10 Magna,2011,4180,110000,Petrol,Individual,Manual,4.91,1197.0,78.9,5.0
Hyundai i20 Asta 1.4 CRDi,2013,9350,60000,Diesel,Individual,Manual,4.7,1396.0,88.76,5.0
Maruti Swift Dzire ZDI,2015,13860,147000,Diesel,Individual,Manual,3.76,1248.0,74.0,5.0
Ford Figo 1.2P Titanium MT,2017,13200,25000,Petrol,Individual,Manual,5.51,1196.0,86.8,5.0
Maruti Baleno Delta 1.2,2019,14300,30000,Petrol,Individual,Manual,4.67,1197.0,83.1,5.0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,11880,40000,Diesel,Individual,Manual,4.55,1498.0,108.495,5.0
Honda City i DTEC VX,2015,13860,135000,Diesel,Individual,Manual,3.98,1498.0,98.6,5.0
Maruti Wagon R AMT VXI,2018,9856,30000,Petrol,Individual,Automatic,4.88,998.0,67.0,5.0
Volkswagen Ameo 1.5 TDI Comfortline,2017,11000,80000,Diesel,Individual,Manual,4.62,1498.0,108.62,5.0
Maruti Vitara Brezza VDi,2016,16390,70000,Diesel,Individual,Manual,4.12,1248.0,88.5,5.0
Maruti Vitara Brezza ZDi Plus AMT,2019,22550,9850,Diesel,Individual,Automatic,4.12,1248.0,88.5,5.0
Hyundai i10 Magna,2011,5170,60000,Petrol,Individual,Manual,4.91,1197.0,78.9,5.0
Maruti Swift VDI Deca,2016,13860,70000,Diesel,Individual,Manual,3.97,1248.0,74.0,5.0
Toyota Fortuner 4x4 MT,2015,37400,78000,Diesel,Individual,Manual,7.97,2982.0,168.5,7.0
Maruti Swift Star VDI,2013,9900,120000,Diesel,Individual,Manual,4.37,1248.0,74.0,5.0
Maruti Ertiga ZXI,2012,9900,120000,Petrol,Individual,Manual,6.24,1373.0,93.7,7.0
Volkswagen Vento Diesel Highline,2013,9900,170000,Diesel,Individual,Manual,4.87,1598.0,103.6,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,26400,140000,Diesel,Individual,Manual,7.7,2494.0,100.6,8.0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,13420,90000,Diesel,Individual,Manual,4.39,1498.0,98.59,5.0
BMW X1 sDrive20i xLine,2016,55000,30000,Petrol,Individual,Automatic,6.37,1998.0,189.0,5.0
Maruti Celerio ZXI MT BSIV,2017,10669,10000,Petrol,Dealer,Manual,4.33,998.0,67.04,5.0
Datsun GO A Petrol,2016,6050,49000,Petrol,Dealer,Manual,5.26,1198.0,67.05,5.0
Maruti Alto 800 VXI BSIV,2016,6930,32000,Petrol,Dealer,Manual,4.05,796.0,47.3,5.0
Maruti Alto 800 LXI BSIV,2016,6050,38000,Petrol,Dealer,Manual,4.05,796.0,47.3,5.0
Hyundai i10 Era 1.1,2012,6380,28000,Petrol,Dealer,Manual,5.05,1086.0,68.05,5.0
Maruti Omni 8 Seater BSIV,2017,6160,32000,Petrol,Dealer,Manual,7.14,796.0,35.0,5.0
Maruti Wagon R LXI LPG BSIV,2010,4950,44000,LPG,Dealer,Manual,2.13,998.0,58.2,5.0
Volkswagen Polo 1.2 MPI Comfortline,2015,10010,42000,Petrol,Dealer,Manual,6.07,1198.0,74.0,5.0
Hyundai i10 Magna 1.1L,2015,7722,45000,Petrol,Dealer,Manual,5.05,1086.0,68.05,5.0
Volkswagen Vento Petrol Highline,2012,11770,12000,Petrol,Dealer,Manual,6.65,1598.0,103.6,5.0
Maruti Zen Estilo LXI BSIII,2009,3850,55500,Petrol,Dealer,Manual,5.49,998.0,67.1,5.0
Hyundai i20 Asta Optional with Sunroof 1.2,2013,11550,61500,Petrol,Dealer,Manual,5.41,1197.0,82.85,5.0
Maruti Swift Dzire LDI,2016,13200,150000,Diesel,Individual,Manual,3.76,1248.0,74.0,5.0
Hyundai Xcent 1.2 Kappa SX Option AT,2016,12430,72000,Petrol,Dealer,Automatic,5.24,1197.0,82.0,5.0
Maruti Alto LX BSIII,2008,2640,68000,Petrol,Dealer,Manual,5.08,796.0,46.3,5.0
Hyundai i20 1.4 Asta Option,2017,15949,110000,Diesel,Individual,Manual,4.44,1396.0,88.73,5.0
Maruti Wagon R VXI,2009,4070,77000,Petrol,Dealer,Manual,4.59,998.0,67.05,5.0
Tata Manza Aura (ABS) Quadrajet,2010,4400,100000,Diesel,Individual,Manual,5.32,1248.0,90.0,5.0
Maruti Swift VXI,2019,13530,10000,Petrol,Individual,Manual,4.71,1197.0,81.8,5.0
Maruti Eeco 7 Seater Standard BSIV,2016,5940,100000,Petrol,Individual,Manual,6.51,1196.0,73.0,7.0
Maruti Baleno Zeta 1.2,2018,13420,35000,Petrol,Individual,Manual,4.67,1197.0,83.1,5.0
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,13750,70000,Diesel,Individual,Automatic,8.48,2179.0,120.0,8.0
Ford Freestyle Titanium Petrol BSIV,2020,8800,5000,Petrol,Individual,Manual,5.26,1194.0,94.68,5.0
Hyundai Verna VTVT 1.6 SX,2017,19052,37800,Petrol,Individual,Manual,5.88,1591.0,121.3,5.0
Volkswagen Passat 1.8 TSI MT,2010,15400,114000,Petrol,Individual,Manual,6.99,1798.0,160.0,5.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,6600,48000,Petrol,Individual,Manual,6.33,1172.0,65.0,5.0
Mahindra XUV500 W11 Option AWD,2019,37400,32000,Diesel,Individual,Manual,6.62,2179.0,155.0,7.0
Tata Indigo CS LS (TDI) BS-III,2016,8250,100000,Diesel,Individual,Manual,5.24,1405.0,69.01,5.0
Hyundai Verna 1.6 SX,2013,11484,150000,Diesel,Individual,Manual,4.48,1582.0,126.32,5.0
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,9943,69000,Diesel,Individual,Manual,4.57,1396.0,88.76,5.0
Toyota Corolla Altis G,2009,6600,100000,Petrol,Individual,Manual,6.88,1798.0,138.1,5.0
Maruti Celerio VXI,2020,10450,13000,Petrol,Individual,Manual,4.62,998.0,67.04,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,17160,60000,Diesel,Individual,Manual,4.12,1248.0,88.5,5.0
Maruti Swift Dzire VXI,2017,13090,40000,Petrol,Individual,Manual,4.8,1197.0,83.14,5.0
Maruti Wagon R VXI BS IV,2017,9680,35000,Petrol,Individual,Manual,4.88,998.0,67.04,5.0
Nissan Terrano XL 85 PS,2014,8800,70000,Diesel,Individual,Manual,4.89,1461.0,83.8,5.0
Hyundai Creta 1.6 CRDi SX,2016,25080,50000,Diesel,Individual,Manual,5.08,1582.0,126.2,5.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,18700,76139,Diesel,Individual,Manual,4.35,1498.0,98.96,5.0
Maruti Swift Dzire VDi,2012,8140,175000,Diesel,Individual,Manual,5.18,1248.0,73.9,5.0
Renault KWID 1.0,2018,7700,25000,Petrol,Individual,Manual,4.35,999.0,67.0,5.0
Maruti Celerio VXI,2015,7920,40000,Petrol,Individual,Manual,4.33,998.0,67.04,5.0
Maruti Alto LXi,2008,2310,65000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Maruti Ertiga VDI,2013,13750,90000,Diesel,Individual,Manual,4.81,1248.0,88.76,7.0
Hyundai Santro Xing GLS,2009,2970,80000,Petrol,Individual,Manual,5.58,1086.0,62.1,5.0
Maruti Ertiga VDI,2015,15400,110000,Diesel,Individual,Manual,4.81,1248.0,88.76,7.0
Honda Amaze S i-VTEC,2019,15180,1303,Petrol,Dealer,Manual,5.62,1198.0,86.7,5.0
Audi Q5 35TDI Premium Plus,2018,87450,31800,Diesel,Dealer,Automatic,5.88,1968.0,188.0,5.0
Lexus ES 300h,2019,113300,20000,Petrol,Dealer,Automatic,4.47,2487.0,214.56,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,70400,45000,Diesel,Dealer,Automatic,5.17,1999.0,177.0,5.0
Jeep Wrangler 2016-2019 3.6 4X4,2017,90200,17000,Petrol,Individual,Automatic,10.53,3604.0,280.0,5.0
Land Rover Discovery Sport TD4 SE,2019,99000,21000,Diesel,Dealer,Automatic,7.79,1999.0,148.31,7.0
Mercedes-Benz S-Class S 350 CDI,2017,132000,37000,Diesel,Dealer,Automatic,7.41,2987.0,254.79,5.0
BMW 5 Series 520d Sport Line,2018,83380,29500,Diesel,Dealer,Automatic,4.45,1995.0,187.74,5.0
BMW X4 M Sport X xDrive20d,2019,127599,7500,Diesel,Dealer,Automatic,5.96,1995.0,190.0,5.0
Skoda Superb LK 1.8 TSI AT,2018,41029,50000,Petrol,Dealer,Automatic,6.82,1798.0,177.46,5.0
Mercedes-Benz E-Class E250 Edition E,2016,59400,35000,Diesel,Dealer,Automatic,6.67,2143.0,204.0,5.0
MG Hector Sharp AT BSIV,2019,38500,19000,Petrol,Dealer,Automatic,7.16,1451.0,141.0,5.0
Honda City i-VTEC CVT VX,2017,17490,41000,Petrol,Dealer,Automatic,5.56,1497.0,117.6,5.0
Toyota Corolla Altis 1.8 G CVT,2013,13750,39000,Petrol,Dealer,Automatic,7.0,1798.0,138.03,5.0
Volvo XC40 D4 R-Design,2018,74800,22000,Diesel,Dealer,Automatic,5.56,1969.0,190.0,5.0
Audi Q7 35 TDI Quattro Premium,2015,58300,53000,Diesel,Dealer,Automatic,8.29,2967.0,241.4,7.0
Maruti Ciaz ZDi,2015,11770,40000,Diesel,Dealer,Manual,3.82,1248.0,88.5,5.0
Mercedes-Benz S-Class S 350 CDI,2017,128699,47000,Diesel,Dealer,Automatic,7.41,2987.0,282.0,5.0
BMW 5 Series 523i,2010,21450,72200,Petrol,Dealer,Automatic,9.26,2497.0,150.0,5.0
Hyundai Elantra S,2016,17710,49900,Petrol,Dealer,Manual,6.13,1797.0,147.5,5.0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,57750,9000,Diesel,Dealer,Automatic,7.35,1999.0,177.0,5.0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,17842,11000,Petrol,Dealer,Manual,5.88,1198.0,108.5,5.0
Volkswagen Vento Petrol Highline,2011,8250,49000,Petrol,Individual,Manual,6.65,1598.0,103.6,5.0
Hyundai Elantra SX,2012,12100,95000,Petrol,Individual,Manual,6.13,1797.0,147.5,5.0
Skoda Rapid 1.6 MPI AT Elegance,2016,14190,11000,Petrol,Dealer,Automatic,6.99,1598.0,103.5,5.0
Mercedes-Benz CLA 200 CGI Sport,2018,56100,18000,Petrol,Dealer,Automatic,6.65,1991.0,183.0,5.0
Maruti Ertiga ZXI,2014,13178,46100,Petrol,Dealer,Manual,6.24,1373.0,93.7,7.0
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,59400,16000,Petrol,Dealer,Automatic,6.78,1991.0,181.04,5.0
Honda City V AT,2017,19250,18000,Petrol,Dealer,Automatic,6.41,1497.0,116.3,5.0
Toyota Glanza V CVT,2019,19689,9654,Petrol,Dealer,Automatic,5.11,1197.0,81.8,5.0
Maruti Alto K10 VXI,2011,3850,11000,Petrol,Dealer,Manual,4.18,998.0,67.05,5.0
Maruti Swift VXI,2012,7480,24300,Petrol,Dealer,Manual,4.71,1197.0,81.8,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,33550,42163,Diesel,Dealer,Automatic,8.8,2755.0,171.5,7.0
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,22550,8000,Diesel,Dealer,Automatic,4.65,1497.0,108.5,5.0
BMW 3 Series 320d Luxury Line,2016,47300,30000,Diesel,Dealer,Automatic,4.41,1995.0,190.0,5.0
Toyota Camry 2.5 Hybrid,2016,41800,41000,Petrol,Dealer,Automatic,5.22,2494.0,157.7,5.0
BMW 5 Series 520d Luxury Line,2016,63800,12000,Diesel,Dealer,Automatic,5.52,1995.0,190.0,5.0
Toyota Camry W4 (AT),2009,9900,71000,Petrol,Dealer,Automatic,8.26,2362.0,164.7,5.0
Maruti Ertiga BSIV ZXI Plus,2016,18700,20000,Petrol,Individual,Manual,5.71,1373.0,91.1,7.0
Volvo XC90 T8 Excellence BSIV,2017,220000,30000,Petrol,Individual,Automatic,2.38,1969.0,400.0,4.0
Volkswagen Vento Diesel Highline,2011,6600,100000,Diesel,Individual,Manual,4.87,1598.0,103.6,5.0
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,12650,9500,Petrol,Individual,Manual,5.51,1196.0,86.8,5.0
Ford Figo Diesel LXI,2011,3520,120000,Diesel,Individual,Manual,5.0,1399.0,68.0,5.0
Maruti Swift VXI Optional,2015,11330,36600,Petrol,Individual,Manual,4.9,1197.0,81.8,5.0
Maruti Wagon R AMT VXI,2015,8580,50000,Petrol,Individual,Automatic,4.88,998.0,67.0,5.0
Hyundai i20 Magna 1.2,2016,12100,14000,Petrol,Individual,Manual,5.38,1197.0,81.83,5.0
Maruti 800 Std,1999,880,40000,Petrol,Individual,Manual,6.21,796.0,37.0,4.0
Maruti Ritz VDi,2010,4840,120000,Diesel,Individual,Manual,4.74,1248.0,73.9,5.0
Hyundai Grand i10 Magna,2015,9350,70000,Petrol,Individual,Manual,5.29,1197.0,82.0,5.0
Volkswagen Ameo 1.0 MPI Trendline,2019,10560,13000,Petrol,Individual,Manual,5.14,999.0,75.0,5.0
Hyundai Grand i10 Sportz,2014,8800,60000,Petrol,Individual,Manual,5.29,1197.0,82.0,5.0
Maruti Swift Dzire VXI,2014,10714,35000,Petrol,Individual,Manual,5.24,1197.0,85.8,5.0
Hyundai Xcent 1.2 Kappa S,2016,8492,44000,Petrol,Individual,Manual,5.24,1197.0,82.0,5.0
Honda City 1.5 EXI,2005,2200,120000,Petrol,Individual,Manual,7.69,1493.0,100.0,5.0
Toyota Corolla Altis Diesel D4DG,2010,6600,60000,Diesel,Individual,Manual,4.67,1364.0,87.2,5.0
Daewoo Matiz SD,2000,2200,60000,Petrol,Individual,Manual,5.41,796.0,53.0,5.0
Toyota Fortuner 4x2 Manual,2014,38500,30000,Diesel,Individual,Manual,7.69,2982.0,168.5,7.0
Mahindra KUV 100 mFALCON G80 K8,2016,9900,15000,Petrol,Individual,Manual,5.51,1198.0,82.0,6.0
Tata Zest Quadrajet 1.3 75PS XM,2017,10780,90000,Diesel,Individual,Manual,4.36,1248.0,74.0,5.0
Honda City 1.5 S MT,2009,7590,47000,Petrol,Individual,Manual,5.88,1497.0,118.0,5.0
Maruti Zen LXI,2005,1870,90000,Petrol,Individual,Manual,5.78,993.0,60.0,5.0
Maruti Wagon R VXI BS IV with ABS,2010,4730,120600,Petrol,Individual,Manual,5.29,998.0,67.1,5.0
Hyundai Verna Transform SX VTVT,2010,7040,100000,Petrol,Individual,Manual,6.17,1599.0,103.2,5.0
Maruti Swift Dzire VXI,2016,10119,60000,Petrol,Individual,Manual,4.8,1197.0,83.14,5.0
Hyundai Getz GLS,2005,1430,86000,Petrol,Individual,Manual,6.54,1341.0,83.0,5.0
Hyundai Elite i20 Sportz Plus BSIV,2020,15839,5000,Petrol,Individual,Manual,5.38,1197.0,81.86,5.0
Maruti Ciaz 1.3 Alpha,2017,17600,37000,Diesel,Individual,Manual,3.56,1248.0,88.5,5.0
Tata Tigor 1.2 Revotron XZ,2019,11440,14000,Petrol,Individual,Manual,4.93,1199.0,84.0,5.0
Maruti Ertiga VDI,2015,12760,70000,Diesel,Individual,Manual,4.81,1248.0,88.76,7.0
Honda City i VTEC S,2015,13200,50000,Petrol,Individual,Manual,5.75,1497.0,117.3,5.0
Honda Brio S MT,2014,6380,60000,Petrol,Individual,Manual,5.15,1198.0,86.8,5.0
Maruti Wagon R LXI CNG,2016,7920,50000,CNG,Individual,Manual,2.5,998.0,58.16,5.0
Maruti Swift Dzire VXI,2017,12100,50000,Petrol,Individual,Manual,4.8,1197.0,83.14,5.0
Hyundai i20 Sportz 1.2,2013,8250,70000,Petrol,Individual,Manual,5.41,1197.0,82.85,5.0
Maruti Wagon R AMT VXI,2018,9240,35000,Petrol,Individual,Automatic,4.88,998.0,67.0,5.0
Maruti Swift Dzire VXI 1.2,2017,12100,20000,Petrol,Individual,Manual,4.71,1197.0,81.8,5.0
Maruti Alto 800 LXI,2018,5940,20000,Petrol,Individual,Manual,4.05,796.0,47.3,5.0
Maruti Swift Dzire AMT VXI BS IV,2018,15400,7800,Petrol,Individual,Automatic,4.55,1197.0,81.8,5.0
Maruti Swift VXI Optional,2017,11000,20000,Petrol,Individual,Manual,4.9,1197.0,81.8,5.0
Tata Hexa XE,2019,27500,15000,Diesel,Individual,Manual,5.68,2179.0,147.94,7.0
Hyundai i20 Magna,2013,7040,31377,Petrol,Individual,Manual,5.41,1197.0,82.85,5.0
Maruti Swift Dzire VDI,2018,15400,50000,Diesel,Individual,Manual,3.52,1248.0,74.02,5.0
Maruti Wagon R VXI BS IV,2015,6380,60000,Petrol,Individual,Manual,4.88,998.0,67.04,5.0
Toyota Corolla Altis 1.8 VL AT,2012,12100,100000,Petrol,Individual,Automatic,6.88,1794.0,138.1,5.0
Honda Brio S MT,2012,5830,60000,Petrol,Individual,Manual,5.15,1198.0,86.8,5.0
Maruti Baleno Alpha Automatic,2018,18260,5000,Petrol,Individual,Automatic,4.67,1197.0,83.1,5.0
Tata Safari Storme EX,2017,17600,60000,Diesel,Individual,Manual,7.09,2179.0,147.94,7.0
Maruti Alto LXi,2011,3520,25000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Renault KWID RXT,2018,7370,30000,Petrol,Individual,Manual,3.97,799.0,53.3,5.0
Datsun GO T BSIV,2017,7238,80000,Petrol,Individual,Manual,4.85,1198.0,67.0,5.0
Maruti Vitara Brezza VDi Option,2017,17050,75000,Diesel,Individual,Manual,4.12,1248.0,88.5,5.0
Hyundai Xcent 1.2 VTVT SX,2020,11528,32000,Petrol,Individual,Manual,4.97,1197.0,81.86,5.0
Maruti Alto 800 LXI,2015,5390,40000,Petrol,Individual,Manual,4.4,796.0,47.3,5.0
Hyundai i20 1.2 Sportz,2012,6050,93000,Petrol,Individual,Manual,5.88,1197.0,80.0,5.0
Tata Zest Revotron 1.2 XT,2018,11440,60000,Petrol,Individual,Manual,5.69,1193.0,88.7,5.0
Nissan Sunny XL,2014,12100,37000,Petrol,Individual,Manual,5.9,1498.0,97.7,5.0
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,20020,15000,Petrol,Individual,Manual,5.88,1497.0,121.36,5.0
Nissan Micra Active XV S,2015,6600,80000,Petrol,Individual,Manual,5.13,1198.0,67.04,5.0
Maruti Wagon R LXI Optional,2016,7700,140000,Petrol,Individual,Manual,4.88,998.0,67.04,5.0
Mahindra Ssangyong Rexton RX5,2013,19800,70000,Diesel,Individual,Manual,7.79,2696.0,162.0,7.0
Mahindra Quanto C8,2013,6600,120000,Diesel,Individual,Manual,5.81,1493.0,100.0,7.0
Maruti Ritz LDi,2010,5500,110000,Diesel,Individual,Manual,4.74,1248.0,73.9,5.0
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,24200,37000,Diesel,Individual,Manual,5.08,1582.0,126.2,5.0
Renault KWID RXT,2016,5940,44000,Petrol,Individual,Manual,3.97,799.0,53.3,5.0
Maruti Ertiga VDI,2015,14080,80000,Diesel,Individual,Manual,4.81,1248.0,88.76,7.0
Mahindra XUV500 W4,2015,14300,125000,Diesel,Individual,Manual,6.62,2179.0,140.0,7.0
Maruti Eeco 5 Seater AC BSIV,2017,9019,13500,Petrol,Individual,Manual,6.51,1196.0,73.0,5.0
Hyundai Santro Xing GLS,2011,3630,75000,Petrol,Individual,Manual,5.58,1086.0,62.1,5.0
Hyundai Accent GLE,2007,1760,120000,Petrol,Individual,Manual,7.58,1495.0,94.0,5.0
Mahindra XUV500 W8 2WD,2012,11770,120000,Diesel,Individual,Manual,6.62,2179.0,140.0,7.0
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,15400,70000,Diesel,Individual,Manual,7.7,2494.0,100.57,7.0
Maruti Swift Dzire VDI,2013,12100,70000,Diesel,Individual,Manual,4.27,1248.0,74.0,5.0
Honda Amaze S CVT Petrol BSIV,2019,14960,15000,Petrol,Individual,Automatic,5.26,1199.0,88.76,5.0
Hyundai i10 Sportz 1.2,2009,4400,53000,Petrol,Individual,Manual,4.91,1197.0,78.9,5.0
Maruti Swift Dzire VDI,2014,11000,120000,Diesel,Individual,Manual,4.27,1248.0,74.0,5.0
Maruti Ertiga SHVS ZDI Plus,2016,22000,70000,Diesel,Individual,Manual,4.08,1248.0,88.5,7.0
Hyundai Getz 1.3 GVS,2008,2420,120000,Petrol,Individual,Manual,7.04,1341.0,82.9,5.0
Hyundai i20 1.2 Magna,2012,7040,100000,Petrol,Individual,Manual,5.41,1197.0,80.0,5.0
Maruti Swift LXI Optional-O,2015,7700,100000,Petrol,Individual,Manual,4.9,1197.0,83.11,5.0
Tata Indica Vista TDI LS,2013,3740,162500,Diesel,Individual,Manual,5.15,1405.0,70.0,5.0
